838,11,1,0,12,10,1,false
838,11,2,0,12,10,2,false
838,11,3,0,2,28,3,false
838,11,4,0,2,28,4,false
838,11,5,0,3,6,5,false
838,11,6,0,2,1,6,false
838,11,0,0,2,1,7,false
838,12,1,0,2,0,8,false
838,12,2,0,2,12,9,false
838,12,3,0,2,12,10,false
838,12,4,0,2,2,11,false
838,12,5,0,2,1,12,false
838,12,6,0,2,17,13,false
838,12,0,0,2,17,14,false
838,13,1,0,3,1,15,false
838,13,2,0,2,0,16,false
838,13,3,0,2,9,17,false
838,13,4,0,2,7,18,false
838,13,5,0,2,1,19,false
838,13,6,0,4,25,20,false
838,13,0,0,4,25,21,false
838,14,1,0,4,25,22,false
838,14,2,0,4,25,23,false
838,14,3,0,2,0,24,false
838,14,4,0,2,12,25,false
838,14,5,0,2,8,26,false
838,14,6,0,2,8,27,false
838,14,0,0,2,11,28,false
838,15,1,0,2,17,29,false
838,15,2,0,3,19,30,false
838,15,3,0,6,1,31,false
838,15,4,0,6,1,32,false
838,15,5,0,2,0,33,false
838,15,6,0,2,0,34,false
838,15,0,0,2,36,35,false
1544,11,1,0,2,4,1,false
1544,11,2,0,2,1,2,false
1544,11,3,0,2,1,3,false
1544,11,4,0,3,34,4,false
1544,11,5,0,3,8,5,false
1544,11,6,0,2,1,6,false
1544,11,0,0,2,0,7,false
1544,12,1,0,2,0,8,false
1544,12,2,0,2,0,9,false
1544,12,3,0,2,0,10,false
1544,12,4,0,3,0,11,false
1544,12,5,0,3,0,12,false
1544,12,6,0,3,0,13,false
1544,12,0,0,2,0,14,false
1544,13,1,0,2,1,15,false
1544,13,2,0,2,1,16,false
1544,13,3,0,2,5,17,false
1544,13,4,0,4,17,18,false
1544,13,5,0,4,17,19,false
1544,13,6,0,4,17,20,false
1544,13,0,0,4,17,21,false
1544,14,1,0,6,20,22,false
1544,14,2,0,9,23,23,false
1544,14,3,0,9,23,24,false
1544,14,4,0,9,23,25,false
1544,14,5,0,9,23,26,false
1544,14,6,0,9,23,27,false
1544,14,0,0,9,23,28,false
1544,15,1,0,9,23,29,false
1544,15,2,0,9,23,30,false
1544,15,3,0,9,23,31,false
1544,15,4,0,3,0,32,false
1544,15,5,0,2,27,33,false
1544,15,6,0,2,27,34,false
1544,15,0,0,2,0,35,false
1234,11,1,1,0,0,0,true
1234,11,2,0,3,2,1,false
1234,11,3,0,3,2,2,false
1234,11,4,0,2,-1,3,false
1234,11,5,0,2,-1,4,false
1234,11,6,0,3,-1,5,false
1234,11,0,0,6,1,6,false
1234,12,1,0,3,1,7,false
1234,12,2,0,3,5,8,false
1234,12,3,0,3,5,9,false
1234,12,4,0,2,0,10,false
1234,12,5,0,2,0,11,false
1234,12,6,1,0,0,0,true
1234,12,0,2,0,0,0,true
1234,13,1,3,0,0,0,true
1234,13,2,4,0,0,0,true
1234,13,3,5,0,0,0,true
1234,13,4,0,2,3,1,false
1234,13,5,0,2,3,2,false
1234,13,6,0,2,17,3,false
1234,13,0,0,2,17,4,false
1234,14,1,0,2,4,5,false
1234,14,2,0,2,4,6,false
1234,14,3,1,0,0,0,true
1234,14,4,2,0,0,0,true
1234,14,5,3,0,0,0,true
1234,14,6,0,2,4,1,false
1234,14,0,0,2,5,2,false
1234,15,1,0,2,5,3,false
1234,15,2,1,0,0,0,true
1234,15,3,2,0,0,0,true
1234,15,4,0,2,-1,1,false
1234,15,5,0,2,-1,2,false
1234,15,6,1,0,0,0,true
1234,15,0,0,3,0,1,false
1466,11,1,1,0,0,0,true
1466,11,2,2,0,0,0,true
1466,11,3,0,2,0,1,false
1466,11,4,0,2,0,2,false
1466,11,5,0,2,-1,3,false
1466,11,6,0,2,-1,4,false
1466,11,0,0,2,-1,5,false
1466,12,1,0,2,-1,6,false
1466,12,2,0,2,5,7,false
1466,12,3,0,2,-1,8,false
1466,12,4,0,2,0,9,false
1466,12,5,0,2,0,10,false
1466,12,6,0,4,0,11,false
1466,12,0,0,2,0,12,false
1466,13,1,0,2,0,13,false
1466,13,2,0,4,0,14,false
1466,13,3,0,4,0,15,false
1466,13,4,0,2,0,16,false
1466,13,5,0,2,0,17,false
1466,13,6,0,2,0,18,false
1466,13,0,0,4,1,19,false
1466,14,1,0,4,1,20,false
1466,14,2,0,4,1,21,false
1466,14,3,0,2,0,22,false
1466,14,4,0,2,0,23,false
1466,14,5,0,2,0,24,false
1466,14,6,0,3,4,25,false
1466,14,0,0,3,4,26,false
1466,15,1,0,3,4,27,false
1466,15,2,0,4,2,28,false
1466,15,3,0,4,2,29,false
1466,15,4,0,4,2,30,false
1466,15,5,0,4,2,31,false
1466,15,6,1,0,0,0,true
1466,15,0,2,0,0,0,true
